impact_id,impact_name,impact_location,impact_max_age,impact_min_age,impact_diameter,impact_latitude,impact_longitude
1,Kamil,Egypt,0.0005,,0.045,22.01666667,26.08333333
2,Carancas,Peru,0.000007,0.000007,0.0135,-16.66666667,-69.05
3,"Sikhote Alin",Russia,0.000067,0.000067,0.02,46.11666667,134.6666667
4,Wabar,"Saudi Arabia",0.00014,0.00014,0.11,21.5,50.46666667
5,Haviland,"Kansas, U.S.A.",0.001,,0.01,37.58333333,-99.16666667
6,Sobolev,Russia,0.001,,0.05,46.3,137.8666667
7,Whitecourt,"Alberta, Canada ",0.0011,,0.04,54,-115.6
8,"Campo Del Cielo",Argentina,0.004,,0.05,-27.63333333,-61.7
9,Kaalijarv,Estonia,0.005,0.003,0.11,58.4,22.66666667
10,Henbury,"Northern Territory",0.0061,0.0023,0.15,-24.56666667,133.1333333
11,Boxhole,"Northern Territory",0.0069,0.0039,0.17,-22.61666667,135.2
12,Ilumetsa,Estonia,0.0066,0.0066,0.08,57.96666667,27.41666667
13,Macha,Russia,0.007,,0.3,60.1,117.5833333
14,Morasko,Poland,0.01,,0.1,52.48333333,16.9
15,Tenoumer,Mauritania,0.0311,0.0117,1.9,22.91666667,-10.4
16,Barringer,"Arizona, U.S.A.",0.052,0.046,1.18,35.03333333,-111.0166667
17,Lonar,India,0.058,0.046,1.83,19.96666667,76.51666667
18,Xiuyan,"Texas, U.S.A.",,0.05,0.16,31.75,-102.4833333
19,Odessa,"Texas, U.S.A.",0.0635,,0.16,31.75,-102.4833333
20,Amguid,Algeria,0.1,,0.45,26.08333333,4.383333333
21,"Rio Cuarto",Argentina,0.1,,4.5,-32.86666667,-64.23333333
22,Tswaing,"South Africa",0.272,0.168,1.13,-25.4,28.08333333
23,Kalkkop,"South Africa",0.3,0.2,0.64,-32.71666667,24.43333333
24,Dalgaranga,"Western Australia",0.27,0.27,0.02,-27.63333333,117.2833333
25,"Wolfe Creek","Western Australia",0.3,,0.87,-19.16666667,127.8
26,Zhamanshin,Kazakhstan,1,0.8,14,48.4,60.96666667
27,Veevers,"Western Australia",1,,0.08,-22.96666667,125.3666667
28,Monturaqui,Chile,1,,0.46,-23.93333333,-68.28333333
29,Bosumtwi,Ghana,1.07,,10.5,6.5,-1.416666667
30,"New Quebec","Quebec, Canada",1.5,1.3,3.44,61.28333333,-73.66666667
31,Talemzane,Algeria,3,,1.75,33.31666667,4.033333333
